,feature,class,classID,fold
11,"[[-0.5392398  -0.53936577 -0.53885025 ...  0.          0.
   0.        ]
 [-0.5384975  -0.53789467 -0.5356293  ...  0.          0.
   0.        ]
 [-0.5354429  -0.53654015 -0.53794867 ...  0.          0.
   0.        ]
 ...
 [-0.53981185 -0.539801   -0.53979206 ...  0.          0.
   0.        ]
 [-0.53981656 -0.5398139  -0.5398125  ...  0.          0.
   0.        ]
 [-0.5398176  -0.5398164  -0.5398168  ...  0.          0.
   0.        ]]",car_horn,1,10
12,"[[-0.5966505  -0.59589314 -0.59489405 ...  0.          0.
   0.        ]
 [-0.59630215 -0.59528196 -0.59568304 ...  0.          0.
   0.        ]
 [-0.59584564 -0.5941481  -0.594166   ...  0.          0.
   0.        ]
 ...
 [-0.59548366 -0.59626627 -0.5969425  ...  0.          0.
   0.        ]
 [-0.59735215 -0.5973472  -0.59736586 ...  0.          0.
   0.        ]
 [-0.5973824  -0.59738266 -0.59738415 ...  0.          0.
   0.        ]]",car_horn,1,10
13,"[[-0.05781933 -0.05784598 -0.05791497 ...  0.          0.
   0.        ]
 [-0.05782171 -0.05786035 -0.05791829 ...  0.          0.
   0.        ]
 [-0.05788118 -0.05788543 -0.05790775 ...  0.          0.
   0.        ]
 ...
 [-0.05793859 -0.05793813 -0.05793773 ...  0.          0.
   0.        ]
 [-0.0579407  -0.05794059 -0.05794052 ...  0.          0.
   0.        ]
 [-0.05794099 -0.05794099 -0.05794096 ...  0.          0.
   0.        ]]",car_horn,1,10
14,"[[-0.22974876 -0.21691968 -0.20145305 ...  0.          0.
   0.        ]
 [-0.22996973 -0.2242385  -0.21181287 ...  0.          0.
   0.        ]
 [-0.22795066 -0.22165215 -0.21958706 ...  0.          0.
   0.        ]
 ...
 [-0.23472323 -0.23472027 -0.23472404 ...  0.          0.
   0.        ]
 [-0.23472685 -0.23472667 -0.23472643 ...  0.          0.
   0.        ]
 [-0.23472689 -0.23472688 -0.23472682 ...  0.          0.
   0.        ]]",dog_bark,3,2
15,"[[-0.19539154 -0.19703971 -0.19768088 ...  0.          0.
   0.        ]
 [-0.19683729 -0.19763868 -0.19782698 ...  0.          0.
   0.        ]
 [-0.19568188 -0.19713078 -0.19807585 ...  0.          0.
   0.        ]
 ...
 [-0.19671553 -0.19775867 -0.19814418 ...  0.          0.
   0.        ]
 [-0.19808887 -0.19812822 -0.19814928 ...  0.          0.
   0.        ]
 [-0.19809592 -0.19813615 -0.19815058 ...  0.          0.
   0.        ]]",dog_bark,3,2
16,"[[-0.16708006 -0.16716285 -0.16537224 ...  0.          0.
   0.        ]
 [-0.1673259  -0.16754751 -0.16655222 ...  0.          0.
   0.        ]
 [-0.16730171 -0.16757578 -0.16700162 ...  0.          0.
   0.        ]
 ...
 [-0.1678003  -0.16780037 -0.16780026 ...  0.          0.
   0.        ]
 [-0.16780041 -0.16780044 -0.16780044 ...  0.          0.
   0.        ]
 [-0.16780046 -0.16780046 -0.16780047 ...  0.          0.
   0.        ]]",dog_bark,3,2
17,"[[-0.14108735 -0.14078498 -0.14060263 ...  0.          0.
   0.        ]
 [-0.14123182 -0.14114663 -0.1411205  ...  0.          0.
   0.        ]
 [-0.14122576 -0.14111264 -0.14106902 ...  0.          0.
   0.        ]
 ...
 [-0.14128877 -0.14128536 -0.14127925 ...  0.          0.
   0.        ]
 [-0.14128895 -0.14128189 -0.14126348 ...  0.          0.
   0.        ]
 [-0.14128898 -0.14128765 -0.1412849  ...  0.          0.
   0.        ]]",dog_bark,3,2
18,"[[-0.10398971 -0.10442997 -0.10649008 ...  0.          0.
   0.        ]
 [-0.10557523 -0.10556647 -0.10662986 ...  0.          0.
   0.        ]
 [-0.10378496 -0.1052625  -0.1066862  ...  0.          0.
   0.        ]
 ...
 [-0.10703707 -0.10703323 -0.10703789 ...  0.          0.
   0.        ]
 [-0.10704045 -0.10704028 -0.10704045 ...  0.          0.
   0.        ]
 [-0.10704062 -0.10704058 -0.10704064 ...  0.          0.
   0.        ]]",dog_bark,3,10
19,"[[-0.17619607 -0.19340082 -0.20673732 ...  0.          0.
   0.        ]
 [-0.1896467  -0.20052686 -0.2069233  ...  0.          0.
   0.        ]
 [-0.20037304 -0.20485084 -0.20727071 ...  0.          0.
   0.        ]
 ...
 [-0.207409   -0.20740932 -0.2074123  ...  0.          0.
   0.        ]
 [-0.207413   -0.20741317 -0.20741388 ...  0.          0.
   0.        ]
 [-0.207414   -0.20741405 -0.20741422 ...  0.          0.
   0.        ]]",dog_bark,3,10
20,"[[-0.21511957 -0.21542561 -0.2158021  ...  0.          0.
   0.        ]
 [-0.21245463 -0.21479362 -0.21569534 ...  0.          0.
   0.        ]
 [-0.21445976 -0.21539204 -0.21586543 ...  0.          0.
   0.        ]
 ...
 [-0.21603975 -0.21604107 -0.2160423  ...  0.          0.
   0.        ]
 [-0.2160422  -0.21604225 -0.21604237 ...  0.          0.
   0.        ]
 [-0.21604249 -0.21604241 -0.21604252 ...  0.          0.
   0.        ]]",dog_bark,3,10
21,"[[-0.22832073 -0.22830515 -0.22823294 ...  0.          0.
   0.        ]
 [-0.22810178 -0.2281542  -0.22816844 ...  0.          0.
   0.        ]
 [-0.22809811 -0.22824164 -0.22822492 ...  0.          0.
   0.        ]
 ...
 [-0.22848926 -0.2284893  -0.22848903 ...  0.          0.
   0.        ]
 [-0.22848928 -0.2284893  -0.22848925 ...  0.          0.
   0.        ]
 [-0.22848928 -0.22848931 -0.2284893  ...  0.          0.
   0.        ]]",dog_bark,3,10
22,"[[-0.16628647  0.407769    0.95921797 ...  0.          0.
   0.        ]
 [ 0.00927603  0.43081325  1.6562449  ...  0.          0.
   0.        ]
 [-0.43987554 -0.29350984  0.37504345 ...  0.          0.
   0.        ]
 ...
 [-0.5464041  -0.54631436 -0.5462069  ...  0.          0.
   0.        ]
 [-0.54645574 -0.54643553 -0.5464198  ...  0.          0.
   0.        ]
 [-0.54646254 -0.54645675 -0.5464499  ...  0.          0.
   0.        ]]",air_conditioner,0,5
23,"[[ 0.32772988  0.96264935  1.4805803  ...  0.          0.
   0.        ]
 [ 0.43654168  0.9265356   1.1226815  ...  0.          0.
   0.        ]
 [ 0.20241591  1.3895217   2.152933   ...  0.          0.
   0.        ]
 ...
 [-0.5090575  -0.5097607  -0.51005644 ...  0.          0.
   0.        ]
 [-0.5095743  -0.51004374 -0.510249   ...  0.          0.
   0.        ]
 [-0.5098122  -0.51019067 -0.510314   ...  0.          0.
   0.        ]]",air_conditioner,0,5
24,"[[ 0.22877641  0.4625518   0.4480911  ...  0.          0.
   0.        ]
 [ 0.798429    1.5493464   1.3082763  ...  0.          0.
   0.        ]
 [ 0.6536599   0.46239287  0.45967057 ...  0.          0.
   0.        ]
 ...
 [-0.47808173 -0.4780101  -0.4778755  ...  0.          0.
   0.        ]
 [-0.4780954  -0.47813526 -0.47816125 ...  0.          0.
   0.        ]
 [-0.4782039  -0.4782145  -0.47822016 ...  0.          0.
   0.        ]]",air_conditioner,0,5
25,"[[ 0.8490299   1.198896    2.910666   ...  0.          0.
   0.        ]
 [ 0.16745667  2.4986436   4.9249563  ...  0.          0.
   0.        ]
 [ 0.27776638  1.0305222   2.077775   ...  0.          0.
   0.        ]
 ...
 [-0.47021508 -0.4700702  -0.47003096 ...  0.          0.
   0.        ]
 [-0.47033936 -0.47032642 -0.4703161  ...  0.          0.
   0.        ]
 [-0.47035828 -0.4703773  -0.47038323 ...  0.          0.
   0.        ]]",air_conditioner,0,5
26,"[[ 1.3566226e+00  8.4222114e-01  1.0432551e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 6.3667917e+00  3.7891793e+00  3.2026446e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-9.1645791e-04  3.9854735e-01  7.2491860e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-5.1162326e-01 -5.1166570e-01 -5.1147211e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-5.1174903e-01 -5.1193237e-01 -5.1199824e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-5.1202893e-01 -5.1205927e-01 -5.1207042e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",air_conditioner,0,5
27,"[[ 0.01146837  0.18121023  1.029271   ...  0.          0.
   0.        ]
 [ 0.6919645   0.9606412   0.7447539  ...  0.          0.
   0.        ]
 [-0.20176296  0.05904468  0.53456205 ...  0.          0.
   0.        ]
 ...
 [-0.53188634 -0.53188175 -0.53186405 ...  0.          0.
   0.        ]
 [-0.53205985 -0.5320701  -0.5320628  ...  0.          0.
   0.        ]
 [-0.5321169  -0.5321169  -0.53211874 ...  0.          0.
   0.        ]]",air_conditioner,0,5
28,"[[ 4.7215242   1.8617686   0.21032695 ...  0.          0.
   0.        ]
 [ 6.9331493   2.9109511   0.7591587  ...  0.          0.
   0.        ]
 [ 1.2313898   0.9589976   0.87701374 ...  0.          0.
   0.        ]
 ...
 [-0.52540505 -0.52533895 -0.5251706  ...  0.          0.
   0.        ]
 [-0.5253622  -0.5253861  -0.52539426 ...  0.          0.
   0.        ]
 [-0.5254041  -0.5254748  -0.52549833 ...  0.          0.
   0.        ]]",air_conditioner,0,5
29,"[[ 0.609592    1.0337507   2.4296353  ...  0.          0.
   0.        ]
 [ 1.6279684   2.8684044   2.4999707  ...  0.          0.
   0.        ]
 [ 1.4835496   1.011832    1.4351468  ...  0.          0.
   0.        ]
 ...
 [-0.5101008  -0.5105053  -0.5107139  ...  0.          0.
   0.        ]
 [-0.5102433  -0.5107496  -0.51096606 ...  0.          0.
   0.        ]
 [-0.5105781  -0.51089084 -0.5109966  ...  0.          0.
   0.        ]]",air_conditioner,0,5
30,"[[ 2.6397657   4.645015    4.786591   ...  0.          0.
   0.        ]
 [ 0.7466074   2.4946964   2.5755603  ...  0.          0.
   0.        ]
 [ 2.2785687   1.7405566   0.8447914  ...  0.          0.
   0.        ]
 ...
 [-0.5058487  -0.5073134  -0.5077774  ...  0.          0.
   0.        ]
 [-0.5062347  -0.50752175 -0.50793636 ...  0.          0.
   0.        ]
 [-0.50635535 -0.50760156 -0.50801754 ...  0.          0.
   0.        ]]",air_conditioner,0,5
31,"[[ 1.1748192   1.4129074   1.6693316  ...  0.          0.
   0.        ]
 [ 1.77267     1.8974258   2.1121938  ...  0.          0.
   0.        ]
 [ 1.3808079   2.737753    2.942148   ...  0.          0.
   0.        ]
 ...
 [-0.4797264  -0.47996986 -0.4801898  ...  0.          0.
   0.        ]
 [-0.47985357 -0.48031127 -0.48047    ...  0.          0.
   0.        ]
 [-0.48001352 -0.48038164 -0.48050416 ...  0.          0.
   0.        ]]",air_conditioner,0,5
32,"[[ 2.2042766   1.7284923   1.2929544  ...  0.          0.
   0.        ]
 [ 2.9515395   2.5937428   0.9995978  ...  0.          0.
   0.        ]
 [ 2.3119707   2.0940285   1.525635   ...  0.          0.
   0.        ]
 ...
 [-0.48969522 -0.48961285 -0.48958755 ...  0.          0.
   0.        ]
 [-0.48982254 -0.48984915 -0.48986974 ...  0.          0.
   0.        ]
 [-0.48987156 -0.48988566 -0.48989338 ...  0.          0.
   0.        ]]",air_conditioner,0,5
33,"[[ 0.39822716  0.8038144   1.3615469  ...  0.          0.
   0.        ]
 [ 0.35126385  1.6901525   3.300823   ...  0.          0.
   0.        ]
 [-0.14857753  0.2774574   0.6811617  ...  0.          0.
   0.        ]
 ...
 [-0.50662494 -0.5065779  -0.5065096  ...  0.          0.
   0.        ]
 [-0.5067544  -0.5067713  -0.50675064 ...  0.          0.
   0.        ]
 [-0.5067791  -0.5068116  -0.5068222  ...  0.          0.
   0.        ]]",air_conditioner,0,5
34,"[[ 1.9719551   4.104478    5.759925   ...  0.          0.
   0.        ]
 [ 1.4999436   2.456803    2.6413875  ...  0.          0.
   0.        ]
 [ 1.8217757   1.3073652   0.44486973 ...  0.          0.
   0.        ]
 ...
 [-0.51541364 -0.51605403 -0.51619244 ...  0.          0.
   0.        ]
 [-0.51619804 -0.51646537 -0.5165392  ...  0.          0.
   0.        ]
 [-0.5162754  -0.5165461  -0.51663446 ...  0.          0.
   0.        ]]",air_conditioner,0,5
35,"[[-0.00830589  0.32595822  0.43350825 ...  0.          0.
   0.        ]
 [-0.08671163  0.6319073   1.416825   ...  0.          0.
   0.        ]
 [ 0.9501709   2.368324    2.473382   ...  0.          0.
   0.        ]
 ...
 [-0.48803627 -0.48807836 -0.48797888 ...  0.          0.
   0.        ]
 [-0.488211   -0.48819348 -0.48817563 ...  0.          0.
   0.        ]
 [-0.4882182  -0.48822266 -0.48822296 ...  0.          0.
   0.        ]]",air_conditioner,0,5
36,"[[ 2.1073954   2.7199802   2.0441225  ...  0.          0.
   0.        ]
 [ 3.4659724   3.6505108   2.7789104  ...  0.          0.
   0.        ]
 [ 1.8057911   1.662655    0.65925735 ...  0.          0.
   0.        ]
 ...
 [-0.45202804 -0.45244575 -0.45257527 ...  0.          0.
   0.        ]
 [-0.45196187 -0.4525286  -0.45272326 ...  0.          0.
   0.        ]
 [-0.45203415 -0.4525855  -0.45276946 ...  0.          0.
   0.        ]]",air_conditioner,0,5
37,"[[ 4.4586306   1.6336393   0.1067598  ...  0.          0.
   0.        ]
 [ 0.11542325  0.16883567  0.02430922 ...  0.          0.
   0.        ]
 [-0.18773545 -0.10759344 -0.18988281 ...  0.          0.
   0.        ]
 ...
 [-0.43600848 -0.4368894  -0.43729818 ...  0.          0.
   0.        ]
 [-0.4365831  -0.43721506 -0.43741268 ...  0.          0.
   0.        ]
 [-0.43680716 -0.43731055 -0.43747655 ...  0.          0.
   0.        ]]",air_conditioner,0,5
38,"[[ 3.0335224   1.4966942   1.4662387  ...  0.          0.
   0.        ]
 [ 3.4670615   2.6152816   2.544522   ...  0.          0.
   0.        ]
 [ 0.23671599  1.1470397   3.1704988  ...  0.          0.
   0.        ]
 ...
 [-0.4584248  -0.45885885 -0.45898232 ...  0.          0.
   0.        ]
 [-0.45866343 -0.458983   -0.45909014 ...  0.          0.
   0.        ]
 [-0.45888552 -0.45906726 -0.45912537 ...  0.          0.
   0.        ]]",air_conditioner,0,5
39,"[[ 0.1107091  -0.11832213  0.05698202 ...  0.          0.
   0.        ]
 [ 0.68605083  0.5020752   0.821489   ...  0.          0.
   0.        ]
 [ 0.8936666   0.6928389   1.0707713  ...  0.          0.
   0.        ]
 ...
 [-0.47419113 -0.47415304 -0.47418046 ...  0.          0.
   0.        ]
 [-0.47432762 -0.47436124 -0.47435907 ...  0.          0.
   0.        ]
 [-0.47437453 -0.4743922  -0.47440308 ...  0.          0.
   0.        ]]",air_conditioner,0,5
40,"[[ 0.39145428  0.38095546  0.3417287  ...  0.          0.
   0.        ]
 [ 1.8948578   1.3853838   0.9092095  ...  0.          0.
   0.        ]
 [-0.2635521  -0.0110427   0.28995296 ...  0.          0.
   0.        ]
 ...
 [-0.43143368 -0.43167135 -0.43173033 ...  0.          0.
   0.        ]
 [-0.43158698 -0.4317755  -0.4318275  ...  0.          0.
   0.        ]
 [-0.43167934 -0.431836   -0.4318936  ...  0.          0.
   0.        ]]",air_conditioner,0,5
41,"[[ 0.02033329  0.01118293  0.00058991 ...  0.          0.
   0.        ]
 [ 0.31848928  0.5403093   0.0156328  ...  0.          0.
   0.        ]
 [ 0.01444905  0.14361759 -0.12243604 ...  0.          0.
   0.        ]
 ...
 [-0.37810183 -0.37868422 -0.37881532 ...  0.          0.
   0.        ]
 [-0.37823054 -0.37879986 -0.3789954  ...  0.          0.
   0.        ]
 [-0.3785247  -0.37890413 -0.37903038 ...  0.          0.
   0.        ]]",air_conditioner,0,5
42,"[[ 0.32308587  0.45103434  0.4475956  ...  0.          0.
   0.        ]
 [ 0.19043861  0.92982864  1.437808   ...  0.          0.
   0.        ]
 [-0.2827257   0.10304737  0.91521806 ...  0.          0.
   0.        ]
 ...
 [-0.3626181  -0.3626466  -0.36269465 ...  0.          0.
   0.        ]
 [-0.36271822 -0.36273345 -0.36273056 ...  0.          0.
   0.        ]
 [-0.36276886 -0.36277393 -0.36277297 ...  0.          0.
   0.        ]]",air_conditioner,0,5
43,"[[ 0.44562095  1.0639088   1.082783   ...  0.          0.
   0.        ]
 [ 0.6886396   0.55645394  0.45654878 ...  0.          0.
   0.        ]
 [ 0.94170755  0.8677123   0.7050993  ...  0.          0.
   0.        ]
 ...
 [-0.36085382 -0.36176106 -0.3621232  ...  0.          0.
   0.        ]
 [-0.36134908 -0.36195534 -0.36216193 ...  0.          0.
   0.        ]
 [-0.36145446 -0.36202148 -0.36221144 ...  0.          0.
   0.        ]]",air_conditioner,0,5
44,"[[ 1.616585    0.72072476  0.50008434 ...  0.          0.
   0.        ]
 [ 0.36164442  0.6614739   0.97797555 ...  0.          0.
   0.        ]
 [ 0.7943979   0.4405591   0.19530182 ...  0.          0.
   0.        ]
 ...
 [-0.3586318  -0.35876092 -0.35879707 ...  0.          0.
   0.        ]
 [-0.3588288  -0.35889104 -0.35891977 ...  0.          0.
   0.        ]
 [-0.35888565 -0.35892403 -0.35893872 ...  0.          0.
   0.        ]]",air_conditioner,0,5
45,"[[ 1.1439139   0.5516496   1.027243   ...  0.          0.
   0.        ]
 [ 2.5687814   1.4050548   2.7446663  ...  0.          0.
   0.        ]
 [ 0.7905551   0.59931886  0.42084327 ...  0.          0.
   0.        ]
 ...
 [-0.51377106 -0.51373994 -0.51375973 ...  0.          0.
   0.        ]
 [-0.5138907  -0.51391286 -0.51390964 ...  0.          0.
   0.        ]
 [-0.5139423  -0.5139499  -0.51395094 ...  0.          0.
   0.        ]]",air_conditioner,0,5
46,"[[ 0.3197274   0.24769185 -0.02439745 ...  0.          0.
   0.        ]
 [ 1.2489452   0.67664266  0.24918565 ...  0.          0.
   0.        ]
 [-0.03208883  0.18126513  0.35063726 ...  0.          0.
   0.        ]
 ...
 [-0.35564888 -0.35574853 -0.35579813 ...  0.          0.
   0.        ]
 [-0.35569978 -0.3558433  -0.3558823  ...  0.          0.
   0.        ]
 [-0.35574722 -0.35587242 -0.35591453 ...  0.          0.
   0.        ]]",air_conditioner,0,5
47,"[[ 0.73583966  1.1216564   1.4164872  ...  0.          0.
   0.        ]
 [ 0.7090842   0.7491768   0.660476   ...  0.          0.
   0.        ]
 [ 0.5324099   0.39249536  0.99783134 ...  0.          0.
   0.        ]
 ...
 [-0.5228943  -0.5231252  -0.5232427  ...  0.          0.
   0.        ]
 [-0.5233737  -0.5234408  -0.5234474  ...  0.          0.
   0.        ]
 [-0.52342075 -0.5235242  -0.52356064 ...  0.          0.
   0.        ]]",air_conditioner,0,5
48,"[[ 4.743509    4.2076693   2.1252608  ...  0.          0.
   0.        ]
 [ 4.1468544   4.3988442   2.8514698  ...  0.          0.
   0.        ]
 [ 1.5442785   1.3915708   1.5623556  ...  0.          0.
   0.        ]
 ...
 [-0.5340097  -0.53396624 -0.53395265 ...  0.          0.
   0.        ]
 [-0.53404564 -0.534116   -0.5340818  ...  0.          0.
   0.        ]
 [-0.5340671  -0.5341545  -0.53418213 ...  0.          0.
   0.        ]]",air_conditioner,0,5
49,"[[ 0.6260587   0.878822    1.8653135  ...  0.          0.
   0.        ]
 [ 0.1887014   1.3651916   4.309501   ...  0.          0.
   0.        ]
 [ 0.165309    0.77873397  1.3927063  ...  0.          0.
   0.        ]
 ...
 [-0.5395116  -0.53945875 -0.539153   ...  0.          0.
   0.        ]
 [-0.53961533 -0.53966737 -0.53965926 ...  0.          0.
   0.        ]
 [-0.53974307 -0.5397483  -0.5397577  ...  0.          0.
   0.        ]]",air_conditioner,0,5
50,"[[ 1.5971938   1.668432    1.0339525  ...  0.          0.
   0.        ]
 [ 1.318678    1.3652446   0.5982809  ...  0.          0.
   0.        ]
 [ 0.14817089  0.38080215  0.2972299  ...  0.          0.
   0.        ]
 ...
 [-0.55171    -0.55184853 -0.55191284 ...  0.          0.
   0.        ]
 [-0.5519628  -0.5520326  -0.5520657  ...  0.          0.
   0.        ]
 [-0.5519863  -0.55208236 -0.55211353 ...  0.          0.
   0.        ]]",air_conditioner,0,5
51,"[[ 2.2968452   0.84117365  0.6884464  ...  0.          0.
   0.        ]
 [ 1.0034932   0.3193953   0.98738027 ...  0.          0.
   0.        ]
 [ 1.5422133   0.9499725   0.6177769  ...  0.          0.
   0.        ]
 ...
 [-0.5424746  -0.5432176  -0.5432495  ...  0.          0.
   0.        ]
 [-0.5429731  -0.54343283 -0.5435112  ...  0.          0.
   0.        ]
 [-0.54276526 -0.54343945 -0.5436625  ...  0.          0.
   0.        ]]",air_conditioner,0,5
52,"[[ 0.99239916  1.2850773   1.8900268  ...  0.          0.
   0.        ]
 [ 0.6202628   0.657011    2.0839374  ...  0.          0.
   0.        ]
 [ 0.34009436  0.2627718   1.384096   ...  0.          0.
   0.        ]
 ...
 [-0.5383013  -0.53845614 -0.53843313 ...  0.          0.
   0.        ]
 [-0.53824586 -0.5384743  -0.5385321  ...  0.          0.
   0.        ]
 [-0.53832835 -0.5385313  -0.5385989  ...  0.          0.
   0.        ]]",air_conditioner,0,5
53,"[[-0.27703154 -0.27697343 -0.27685434 ...  0.          0.
   0.        ]
 [-0.27705795 -0.2770382  -0.27698404 ...  0.          0.
   0.        ]
 [-0.27698553 -0.2768237  -0.2764214  ...  0.          0.
   0.        ]
 ...
 [-0.277086   -0.27708402 -0.27705625 ...  0.          0.
   0.        ]
 [-0.27708617 -0.277086   -0.27708215 ...  0.          0.
   0.        ]
 [-0.27708635 -0.27708626 -0.27708524 ...  0.          0.
   0.        ]]",dog_bark,3,6
54,"[[-0.27406597 -0.27565947 -0.27649283 ...  0.          0.
   0.        ]
 [-0.27537698 -0.2754456  -0.2767327  ...  0.          0.
   0.        ]
 [-0.2702362  -0.27278706 -0.27618188 ...  0.          0.
   0.        ]
 ...
 [-0.27772155 -0.2758909  -0.27613288 ...  0.          0.
   0.        ]
 [-0.27797866 -0.2773183  -0.27793717 ...  0.          0.
   0.        ]
 [-0.2783957  -0.27836993 -0.2783762  ...  0.          0.
   0.        ]]",dog_bark,3,6
